id,coordinates,type,note,attached,install_date
24E124136E106619,"(60.19597458443258, 24.954472833953627)",Auringossa,Katupylväs,Tolppa,2024-06-14
24E124136E106618,"(60.19603679151048, 24.95214986305944)",Varjossa,Vesiputkessa,Putkessa nippusitein,2024-05-30
24E124136E106661,"(60.19641839065333, 24.95566158371556)",Auringossa,Tolppa parkkialueella,Tolppa,2024-06-16
24E124136E106617,"(60.19858337673502, 24.949683705063027)",Varjossa,Puussa,"Varjo, puu",2024-05-27
24E124136E106638,"(60.19691015749769, 24.952021110782997)",Auringossa,Valopylväs. Sensorin eka numero puuttuu,Tolppa,2024-06-14
24E124136E106674,"(60.19760495885829, 24.949697722407258)",Varjossa,Säästettävä puu,"Varjo, puu suuri",2024-05-30
24E124136E106635,"(60.19665805740335, 24.95465791769169)",Varjossa,Puussa,"Varjo, puu",2024-05-30
24E124136E106686,"(60.19476461138742, 24.954281110891024)",Varjossa,Puussa,"Varjo,puussa",2024-05-27
24E124136E106637,"(60.19845337489223, 24.94848480567734)",Auringossa,Rännissä,Tolppa,2024-06-14
24E124136E106636,"(60.197169753763504, 24.947575305714295)",Varjossa,Puussa,"Varjo, puu",2024-05-27
24E124136E106616,"(60.19628790558516, 24.953944343215543)",Varjossa,Puussa,Puu,2024-05-30
24E124136E106643,"(60.19778118227482, 24.95440486752224)",Varjossa,Julkisivulla,"Varjo, julkisivulla",2024-05-27
